Year,Units,Value
2020,Total park acres,37028.0
2020,Parkland as percent of city area (%),12.6
2019,Total park acres,36934.0
2019,Parkland as percent of city area (%),12.5
2018,Total park acres,37405.0
2018,Parkland as percent of city area (%),12.5
2017,Total park acres,37405.0
2017,Parkland as percent of city area (%),12.5
2016,Total park acres,38822.0
2016,Parkland as percent of city area (%),13.2
2015,Total park acres,36177.0
2015,Parkland as percent of city area (%),12.3
2014,Total park acres,36112.0
2014,Parkland as percent of city area (%),12.2
